Start,End,Open,High,Low,Close,Volume,Market Cap
2024-03-20,2024-03-21,61915.99,67982.18,60941.74,67854.02,115422036266.33101,1255442147261.359
2024-03-19,2024-03-20,67749.95,68096.05,61624.96,61981.15,102161122550.67596,1265125254132.561
2024-03-18,2024-03-19,68308.53,68920.04,66689.99,67711.55,70679197775.8432,1331893732824.0244
2024-03-17,2024-03-18,66031.71,68870.99,64949.86,68650.08,84278484629.36586,1318367503672.8572
2024-03-16,2024-03-17,69561.38,69931.27,65249.77,65286.52,91914290138.35541,1341113353922.899
2024-03-15,2024-03-16,71536.18,72305.13,65867.11,69532.18,124937923879.67831,1348026241710.3916
2024-03-14,2024-03-15,72961.03,73628.43,68699.98,71432.39,75422276666.89896,1418447482924.0034
2024-03-13,2024-03-14,71421.13,73607.76,71333.36,73087.95,91883183842.28572,1428493117552.5505
2024-03-12,2024-03-13,72263.99,72493.29,69356.89,71473.86,89236459327.29268,1408051567912.5295
2024-03-11,2024-03-12,68820.21,72708.04,67777.97,72094.44,79127508759.96516,1394362835262.7249
2024-03-10,2024-03-11,68323.85,69857.99,68231.15,68949.74,45856212989.623695,1361165877895.2893
2024-03-09,2024-03-10,68080.71,68641.97,67899.97,68513.59,74950745922.96167,1341238544764.014
2024-03-08,2024-03-09,66871.2,69451.15,66398.03,68202.87,71117263448.78049,1329444482209.993
2024-03-07,2024-03-08,65993.97,67854.61,65688.09,66903.82,83044141079.50523,1312006746584.6516
2024-03-06,2024-03-07,63560.41,67573.33,62793.17,66137.13,148737307792.40417,1294560667485.6167
2024-03-05,2024-03-06,68224.28,68887.74,61397.72,63971.07,119133322328.88773,1300021759778.3965
2024-03-04,2024-03-05,63080.01,68363.17,62812.07,68208.36,72073139983.98955,1283150500899.6482
2024-03-03,2024-03-04,61943.57,63182.52,61424.1,63099.99,39212044007.79791,1221676759562.007
2024-03-02,2024-03-03,62360.1,62360.1,61675.41,62004.02,56208251752.832756,1217240504925.6272
2024-03-01,2024-03-02,61140.04,62936,60791.79,62481.07,85949940919.33798,1214945932689.9407
2024-02-29,2024-03-01,62078.01,63470.48,60559.34,61256.01,144808756615.09756,1219195883104.1184
2024-02-28,2024-02-29,57042.48,63699.03,56731.11,62497.28,96658605621.2892,1164352769392.9443
2024-02-27,2024-02-28,54560.01,57501.14,54463.73,57029.24,81248319759.53659,1109066095679.8606
2024-02-26,2024-02-27,51691.06,54899.99,50934.63,54454.91,36684525442.627174,1027264715056.9303
2024-02-25,2024-02-26,51568.1,51932.93,51340.03,51743.97,26241629483.02439,1013995348728.6411
2024-02-24,2024-02-25,50751.71,51664.32,50590.04,51549.1,32711036691.818817,1004422666126.561
2024-02-23,2024-02-24,51284.45,51501.55,50660.19,50830.04,39493253625.42509,1003260328012.4077
2024-02-22,2024-02-23,51775.9,52026.56,50947.82,51339.49,46683002707.09408,1012661011105.777
2024-02-21,2024-02-22,52294.99,52341.7,50772.85,51833,52113128144.954704,1010544584033.8572
2024-02-20,2024-02-21,51797.82,52887.96,50803.55,52278.15,44201495419.13589,1018475229647.9581
2024-02-19,2024-02-20,52132.71,52476.91,51735.45,51739.37,32200605555.16028,1023293619718.3136
2024-02-18,2024-02-19,51647.99,52338.43,51214.73,52119.06,31556666393.19164,1015649368166.6864
2024-02-17,2024-02-18,52124.11,52149.08,50630.03,51673.99,35135235103.73519,1013170389722.5714
2024-02-16,2024-02-17,51883.3,52467.94,51629.9,52121.96,47658101737.50871,1021088711167.46
2024-02-15,2024-02-16,51837.11,52771.03,51325.97,51888.33,53044283555.808365,1021856975705.2683
2024-02-14,2024-02-15,49676,51945.99,49324.02,51819.74,51783098559.191635,997626003492.575
2024-02-13,2024-02-14,49946.97,50204.94,48449.96,49741.98,53147557899.06969,973819271706.3206
2024-02-12,2024-02-13,48273.97,50255.98,47745.03,50017.36,38819283556.00349,957144343058.9303
2024-02-11,2024-02-12,47703.97,48534.61,47608.53,48269.68,30907482420.9338,944692155565.46
2024-02-10,2024-02-11,47195.14,48080.16,46879.57,47760.23,45271931172.94774,929124796534.5192
2024-02-09,2024-02-10,45369.94,48076.09,45252.45,47093.93,47447893766.98258,917726348825.1742
2024-02-08,2024-02-09,44419.55,45550.04,44353.96,45315.99,38856090038.372826,880939468190.6272
2024-02-07,2024-02-08,43110.05,44334.08,42795.21,44328.04,27969351851.296165,849023765894.9581
2024-02-06,2024-02-07,42699.98,43360.57,42578.66,43105.15,29871680562.156796,842840463066.5889
2024-02-05,2024-02-06,42588.21,43494.23,42286.04,42713.66,27480018870.82927,839558061795.4564
2024-02-04,2024-02-05,43000.02,43107.98,42228.04,42609.98,21519856714.55052,841313552908.2717
2024-02-03,2024-02-04,43170,43355.96,42925.88,42970.67,26216205482.686413,845602637890.5122
2024-02-02,2024-02-03,43066.98,43424.42,42629.75,43189.15,33029151046.857143,844821150972.2369
2024-02-01,2024-02-02,42604.11,43239.64,41932.02,43069.45,39172604290.32753,832824885942.1742
2024-01-31,2024-02-01,43006.66,43741.81,42287.98,42611.24,36370523790.21255,841843946108.9652
2024-01-30,2024-01-31,43188.23,43791.13,42811.98,42915.56,35740198570.728226,851486850188.7178
2024-01-29,2024-01-30,41947.97,43283.58,41847.34,43269.41,27579132706.92683,832947409696.5087
2024-01-28,2024-01-29,42121.73,42834.18,41696.43,42018.7,24000943679.146343,828479396542.9547
2024-01-27,2024-01-28,41822.6,42190.01,41473.93,42112.7,33407592486.37979,820243708214.3241
2024-01-26,2024-01-27,39947.42,42205.19,39829.36,41866.1,32730718807.135887,802800029935.345
2024-01-25,2024-01-26,40069.56,40278.07,39579.43,39929.16,30621419031.292683,783521443598.6306
2024-01-24,2024-01-25,39920.76,40538.01,39571.64,40145.83,41600345362.03136,782820543860.5714
2024-01-23,2024-01-24,39588.08,40166.68,38604.83,39873.77,47274722655.56446,773218301080.6306
2024-01-22,2024-01-23,41598.12,41685.73,39516.98,39516.98,28994460404.891987,798736677777.9442
2024-01-21,2024-01-22,41697.86,41864.33,41530.03,41549.91,17447807044.027874,817357256027.9756
2024-01-20,2024-01-21,41633.22,41857.38,41467.97,41668.99,34834893315.627174,815915438030.4808
2024-01-19,2024-01-20,41339.94,42186.01,40336.03,41627.16,43198521354.405594,809636541742.7588
2024-01-18,2024-01-19,42760.1,42916.99,40751.17,41296.92,33318931891.00697,828379582065.8502
2024-01-17,2024-01-18,43156.79,43188,42259.96,42764.71,37442085606.02439,837566559077.0558
